,file,4Cihan,2Asli,3Cihan,1Asli,5Ozan,fullAgree,fullAgree_score,majority_score
278,67_mel1_per1700752.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
284,55_mel1_per110958.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
293,51_mel1_per148060.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
294,510_mel2_per109558.wav,1.0,1.0,1.0,2.0,2.0,False,,1.0
296,510_mel1_per172060.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
299,62_mel1_per1778742.wav,4.0,3.0,3.0,4.0,3.0,False,,3.0
303,57_mel1_per175558.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
307,54_mel1_per153759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
316,51_mel2_per190959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
319,510_mel1_per174995.wav,,1.0,2.0,1.0,1.0,False,,1.0
320,58_mel2_per169759.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
322,51_mel1_per166260.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
329,610_mel2_per1392752.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
341,510_mel1_per123758.wav,1.0,1.0,2.0,2.0,2.0,False,,2.0
342,69_mel1_per1473742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
343,67_mel1_per1548742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
344,64_mel1_per1023742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
348,56_mel1_per123658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
350,52_mel2_per152658.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
355,69_mel1_per1126742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
356,51_mel1_per186658.wav,3.0,4.0,4.0,4.0,4.0,False,,4.0
359,52_mel2_per150659.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
368,63_mel1_per1366742.wav,1.0,2.0,3.0,3.0,2.0,False,,
374,52_mel1_per123858.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
376,52_mel2_per192658.wav,3.0,4.0,3.0,4.0,3.0,False,,3.0
379,55_mel1_per118758.wav,2.0,3.0,2.0,3.0,2.0,False,,2.0
382,53_mel1_per176558.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
386,52_mel2_per176160.wav,2.0,4.0,2.0,3.0,2.0,False,,2.0
389,58_mel2_per197859.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
390,68_mel2_per1181752.wav,1.0,1.0,2.0,2.0,2.0,False,,2.0
392,61_mel2_per1460752.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
393,63_mel1_per1809742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
399,58_mel2_per158958.wav,2.0,3.0,2.0,3.0,1.0,False,,
400,58_mel2_per132559.wav,1.0,2.0,2.0,2.0,1.0,False,,2.0
402,610_mel1_per1923742.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
404,58_mel2_per104359.wav,1.0,2.0,2.0,2.0,2.0,False,,2.0
405,51_mel2_per106160.wav,1.0,2.0,1.0,2.0,1.0,False,,1.0
415,510_mel1_per123558.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
418,65_mel1_per1856742.wav,1.0,3.0,2.0,3.0,2.0,False,,
425,51_mel1_per150859.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
426,68_mel1_per1972742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
430,67_mel2_per1184752.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
435,51_mel1_per102585.wav,3.0,4.0,3.0,4.0,3.0,False,,3.0
437,69_mel2_per1154742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
438,59_mel1_per140060.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
439,610_mel2_per1109742.wav,1.0,2.0,1.0,2.0,2.0,False,,2.0
443,63_mel2_per1349742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
446,510_mel2_per174995.wav,1.0,1.0,2.0,2.0,2.0,False,,2.0
451,61_mel2_per1457742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
452,59_mel1_per194959.wav,2.0,3.0,2.0,3.0,2.0,False,,2.0
454,610_mel2_per1762742.wav,1.0,2.0,2.0,3.0,1.0,False,,
460,610_mel1_per1173742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
462,510_mel1_per104558.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
463,58_mel1_per163859.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
465,63_mel2_per1782742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
472,57_mel1_per108859.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
474,62_mel2_per1084742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
475,510_mel1_per151658.wav,,1.0,2.0,2.0,1.0,False,,
479,67_mel1_per1882742.wav,1.0,3.0,2.0,2.0,2.0,False,,2.0
481,51_mel2_per152859.wav,1.0,2.0,1.0,2.0,2.0,False,,2.0
491,62_mel1_per1084742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
495,56_mel2_per110759.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
496,52_mel2_per131658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
499,69_mel1_per1646742.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
506,57_mel2_per132995.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
509,59_mel1_per172359.wav,1.0,2.0,1.0,2.0,2.0,False,,2.0
510,57_mel2_per175958.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
512,56_mel2_per181159.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
514,67_mel2_per1590752.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
517,56_mel2_per193895.wav,2.0,3.0,3.0,3.0,3.0,False,,3.0
520,58_mel1_per133559.wav,2.0,3.0,2.0,3.0,3.0,False,,3.0
523,59_mel1_per118160.wav,3.0,3.0,4.0,3.0,3.0,False,,3.0
525,58_mel1_per197859.wav,1.0,4.0,3.0,2.0,3.0,False,,
528,69_mel2_per1620752.wav,1.0,3.0,2.0,2.0,1.0,False,,
529,68_mel1_per1199742.wav,1.0,1.0,3.0,2.0,2.0,False,,
533,51_mel1_per189759.wav,1.0,2.0,1.0,2.0,2.0,False,,2.0
537,54_mel1_per177959.wav,1.0,2.0,2.0,2.0,1.0,False,,2.0
539,54_mel1_per174160.wav,2.0,4.0,2.0,4.0,2.0,False,,2.0
540,56_mel2_per169995.wav,1.0,2.0,1.0,2.0,1.0,False,,1.0
553,52_mel2_per177459.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
554,54_mel2_per112759.wav,1.0,3.0,2.0,3.0,3.0,False,,3.0
558,62_mel1_per1828732.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
564,69_mel2_per1423742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
566,66_mel1_per1128742.wav,2.0,1.0,2.0,2.0,1.0,False,,2.0
568,56_mel1_per198658.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
570,65_mel1_per1840752.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
572,610_mel2_per1808752.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
574,69_mel2_per1658742.wav,1.0,1.0,3.0,2.0,1.0,False,,1.0
578,61_mel1_per1510752.wav,1.0,1.0,1.0,1.0,2.0,False,,1.0
580,53_mel2_per156160.wav,1.0,2.0,1.0,2.0,1.0,False,,1.0
582,55_mel1_per155558.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
584,510_mel1_per124759.wav,,1.0,2.0,2.0,2.0,False,,2.0
586,55_mel2_per197885.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
594,59_mel1_per140759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
595,65_mel1_per1062742.wav,4.0,4.0,4.0,4.0,2.0,False,,4.0
599,59_mel1_per131160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
605,56_mel2_per179160.wav,1.0,2.0,2.0,3.0,2.0,False,,2.0
608,56_mel1_per105160.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
616,57_mel2_per151859.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
618,51_mel1_per139659.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
621,54_mel2_per116759.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
623,66_mel1_per1934742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
624,56_mel2_per196559.wav,1.0,2.0,2.0,2.0,1.0,False,,2.0
629,56_mel1_per193559.wav,1.0,3.0,2.0,2.0,1.0,False,,
631,52_mel1_per185858.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
636,56_mel2_per193559.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
637,68_mel1_per1637742.wav,4.0,1.0,1.0,1.0,1.0,False,,1.0
638,62_mel1_per1763742.wav,1.0,3.0,1.0,1.0,2.0,False,,1.0
642,69_mel1_per1755742.wav,2.0,2.0,3.0,2.0,3.0,False,,2.0
646,68_mel2_per1643742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
657,55_mel2_per127558.wav,3.0,4.0,4.0,4.0,2.0,False,,4.0
658,63_mel2_per1582742.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
661,64_mel2_per1055742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
665,63_mel1_per1582742.wav,1.0,3.0,2.0,4.0,3.0,False,,
667,51_mel1_per133859.wav,1.0,2.0,1.0,2.0,2.0,False,,2.0
670,55_mel1_per171959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
674,55_mel1_per176559.wav,2.0,3.0,3.0,1.0,2.0,False,,
684,58_mel2_per183859.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
695,55_mel1_per152160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
700,66_mel1_per1748742.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
702,54_mel2_per128658.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
705,61_mel1_per1460752.wav,1.0,1.0,2.0,3.0,2.0,False,,
707,64_mel1_per1254742.wav,4.0,3.0,4.0,4.0,4.0,False,,4.0
709,52_mel2_per188359.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
718,65_mel2_per1316742.wav,1.0,1.0,2.0,2.0,2.0,False,,2.0
719,63_mel2_per1495742.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
720,51_mel2_per141260.wav,2.0,2.0,1.0,3.0,1.0,False,,
723,54_mel1_per183060.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
726,56_mel1_per161060.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
731,57_mel2_per144260.wav,3.0,4.0,3.0,4.0,3.0,False,,3.0
735,63_mel1_per1918752.wav,1.0,3.0,1.0,2.0,1.0,False,,1.0
736,67_mel1_per1952752.wav,1.0,2.0,1.0,2.0,2.0,False,,2.0
742,51_mel2_per154795.wav,1.0,2.0,1.0,1.0,1.0,False,,1.0
746,62_mel2_per1766742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
758,51_mel2_per114859.wav,1.0,2.0,1.0,2.0,1.0,False,,1.0
760,57_mel2_per136359.wav,1.0,2.0,1.0,2.0,2.0,False,,2.0
761,56_mel1_per162959.wav,1.0,2.0,1.0,2.0,1.0,False,,1.0
762,56_mel2_per198160.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
767,62_mel1_per1407742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
771,52_mel1_per177459.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
786,57_mel2_per105758.wav,2.0,2.0,3.0,3.0,1.0,False,,
789,52_mel2_per194260.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
792,62_mel1_per1216742.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
797,54_mel2_per162695.wav,2.0,3.0,2.0,3.0,3.0,False,,3.0
801,510_mel2_per120658.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
802,510_mel2_per196658.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
812,67_mel2_per1588732.wav,2.0,1.0,2.0,2.0,2.0,False,,2.0
820,57_mel2_per115160.wav,3.0,4.0,4.0,4.0,2.0,False,,4.0
822,69_mel1_per1620762.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
829,52_mel2_per160959.wav,1.0,3.0,2.0,2.0,2.0,False,,2.0
830,69_mel1_per1209742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
833,53_mel1_per145659.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
844,61_mel1_per1718752.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
845,62_mel2_per1872742.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
850,62_mel2_per1389742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
853,69_mel1_per1787742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
860,56_mel1_per155559.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
866,510_mel1_per126795.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
870,55_mel2_per130859.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
871,67_mel2_per1937742.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
876,55_mel1_per121260.wav,1.0,3.0,1.0,3.0,1.0,False,,1.0
878,66_mel2_per1934742.wav,2.0,2.0,3.0,3.0,2.0,False,,2.0
879,57_mel2_per190658.wav,2.0,3.0,2.0,4.0,3.0,False,,
883,55_mel1_per131759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
902,57_mel2_per163060.wav,1.0,3.0,3.0,3.0,3.0,False,,3.0
908,66_mel2_per1038732.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
912,69_mel2_per1287742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
921,53_mel1_per152659.wav,1.0,,1.0,1.0,1.0,True,1.0,1.0
923,61_mel1_per1155752.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
927,53_mel1_per188658.wav,1.0,,2.0,1.0,1.0,False,,1.0
934,53_mel1_per159060.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
936,63_mel2_per1718742.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
942,63_mel2_per1538742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
944,66_mel2_per1387742.wav,2.0,1.0,2.0,2.0,1.0,False,,2.0
948,66_mel2_per1748742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
960,53_mel1_per134758.wav,1.0,,1.0,1.0,1.0,True,1.0,1.0
961,58_mel1_per151060.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
962,67_mel1_per1913742.wav,1.0,1.0,1.0,3.0,2.0,False,,1.0
963,55_mel1_per156595.wav,2.0,1.0,2.0,2.0,2.0,False,,2.0
967,58_mel2_per133559.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
970,58_mel1_per175685.wav,4.0,3.0,4.0,4.0,3.0,False,,4.0
977,57_mel1_per139558.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
979,56_mel2_per112859.wav,1.0,2.0,1.0,3.0,3.0,False,,
984,56_mel2_per147959.wav,1.0,2.0,2.0,2.0,1.0,False,,2.0
988,55_mel1_per148759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
992,52_mel2_per125985.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
994,57_mel1_per136359.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
995,65_mel1_per1922752.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
997,64_mel2_per1790752.wav,1.0,2.0,2.0,2.0,2.0,False,,2.0
999,52_mel2_per132685.wav,2.0,3.0,2.0,2.0,3.0,False,,2.0
1010,68_mel1_per1009742.wav,1.0,3.0,1.0,2.0,2.0,False,,
1011,57_mel2_per189959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
1023,69_mel2_per1620762.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
1027,66_mel1_per1892752.wav,1.0,1.0,4.0,2.0,1.0,False,,1.0
1031,59_mel1_per124559.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
1043,57_mel1_per177658.wav,3.0,4.0,3.0,2.0,3.0,False,,3.0
1046,52_mel2_per121160.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
1050,510_mel1_per196795.wav,1.0,3.0,2.0,2.0,2.0,False,,2.0
1051,510_mel1_per112658.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
1055,63_mel1_per1288732.wav,1.0,2.0,2.0,2.0,2.0,False,,2.0
1056,59_mel1_per120160.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
1060,56_mel1_per196559.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
1061,53_mel1_per115558.wav,2.0,,2.0,2.0,2.0,True,2.0,2.0
1064,58_mel1_per193959.wav,2.0,1.0,2.0,1.0,2.0,False,,2.0
1066,53_mel1_per183659.wav,1.0,,2.0,1.0,1.0,False,,1.0
1068,56_mel2_per102758.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
1071,59_mel1_per126658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
1075,56_mel2_per173060.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
1080,58_mel1_per178060.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
1081,67_mel2_per1838732.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
1083,67_mel1_per1939742.wav,1.0,3.0,2.0,4.0,3.0,False,,
1085,53_mel1_per168259.wav,2.0,,3.0,4.0,3.0,False,,
1090,510_mel2_per182959.wav,2.0,3.0,3.0,3.0,3.0,False,,3.0
1091,54_mel2_per153759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
1093,55_mel1_per165006.wav,2.0,1.0,2.0,2.0,2.0,False,,2.0
1095,67_mel2_per1952752.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
1096,66_mel1_per1213742.wav,1.0,3.0,3.0,2.0,3.0,False,,3.0
1102,56_mel1_per173060.wav,4.0,1.0,1.0,2.0,1.0,False,,1.0
1119,66_mel2_per1325752.wav,4.0,4.0,4.0,4.0,2.0,False,,4.0
1120,53_mel2_per134758.wav,1.0,2.0,2.0,3.0,1.0,False,,
1121,69_mel2_per1135742.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
1122,61_mel1_per1342752.wav,2.0,3.0,2.0,3.0,2.0,False,,2.0
1124,53_mel2_per108658.wav,2.0,3.0,3.0,4.0,3.0,False,,3.0
1125,510_mel1_per162160.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
1130,61_mel1_per1593742.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
1132,53_mel1_per147558.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
1134,52_mel1_per160959.wav,2.0,3.0,2.0,3.0,1.0,False,,
1141,65_mel2_per1863742.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
1144,51_mel1_per190959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
1151,54_mel2_per113160.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
1154,57_mel2_per109659.wav,1.0,2.0,2.0,2.0,1.0,False,,2.0
1155,53_mel1_per156759.wav,3.0,,4.0,4.0,3.0,False,,
1156,54_mel2_per191658.wav,2.0,2.0,1.0,2.0,1.0,False,,2.0
1158,58_mel2_per143758.wav,1.0,2.0,2.0,2.0,3.0,False,,2.0
1166,52_mel2_per146759.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
1170,62_mel1_per1849752.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
1171,58_mel2_per155259.wav,2.0,4.0,2.0,2.0,2.0,False,,2.0
1172,66_mel1_per1735742.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
1177,52_mel1_per146759.wav,2.0,3.0,3.0,3.0,2.0,False,,3.0
1178,51_mel2_per145095.wav,1.0,2.0,1.0,1.0,1.0,False,,1.0
